ID,Drug,Name,SMILES
10,DB00122,Choline,C[N+](C)(C)CCO
11,DB00125,Arginine,N=C(N)NCCC[C@H](N)C(=O)O
12,DB00126,Ascorbic acid,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
13,DB00131,Adenosine phosphate,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
14,DB00136,Calcitriol,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
15,DB00140,Riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
16,DB00153,Ergocalciferol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12
17,DB00160,Alanine,C[C@H](N)C(=O)O
18,DB00162,Vitamin A,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
19,DB00163,Vitamin E,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
20,DB00165,Pyridoxine,Cc1ncc(CO)c(CO)c1O
21,DB00167,Isoleucine,CC[C@H](C)[C@H](N)C(=O)O
22,DB00169,Cholecalciferol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
23,DB00175,Pravastatin,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
24,DB00176,Fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
25,DB00177,Valsartan,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C
26,DB00178,Ramipril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21
27,DB00179,Masoprocol,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1
28,DB00180,Flunisolide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
29,DB00181,Baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1
30,DB00182,Amphetamine,CC(N)Cc1ccccc1
31,DB00186,Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
32,DB00187,Esmolol,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
33,DB00188,Bortezomib,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
34,DB00190,Carbidopa,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O
35,DB00191,Phentermine,CC(C)(N)Cc1ccccc1
36,DB00193,Tramadol,COc1cccc(C2(O)CCCCC2CN(C)C)c1
37,DB00195,Betaxolol,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
38,DB00199,Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
39,DB00201,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O
40,DB00203,Sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
41,DB00204,Dofetilide,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
42,DB00206,Reserpine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
43,DB00208,Ticlopidine,Clc1ccccc1CN1CCc2sccc2C1
44,DB00210,Adapalene,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
45,DB00211,Midodrine,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
46,DB00213,Pantoprazole,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
47,DB00214,Torasemide,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
48,DB00215,Citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
49,DB00216,Eletriptan,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
50,DB00218,Moxifloxacin,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
51,DB00221,Isoetharine,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1
52,DB00222,Glimepiride,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
53,DB00226,Guanadrel,NC(N)=NCC1COC2(CCCCC2)O1
54,DB00227,Lovastatin,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
55,DB00230,Pregabalin,CC(C)C[C@H](CN)CC(=O)O
56,DB00232,Methyclothiazide,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
57,DB00240,Alclometasone,C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl
58,DB00241,Butalbital,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
59,DB00242,Cladribine,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
60,DB00244,Mesalazine,Nc1ccc(O)c(C(=O)O)c1
61,DB00245,Benzatropine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2
62,DB00246,Ziprasidone,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
63,DB00248,Cabergoline,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
64,DB00252,Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
65,DB00255,Diethylstilbestrol,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
66,DB00257,Clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
67,DB00262,Carmustine,O=NN(CCCl)C(=O)NCCCl
68,DB00264,Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1
69,DB00268,Ropinirole,CCCN(CCC)CCc1cccc2c1CC(=O)N2
70,DB00270,Isradipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
71,DB00273,Topiramate,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1
72,DB00275,Olmesartan,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
73,DB00277,Theophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O
74,DB00278,Argatroban,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
75,DB00279,Liothyronine,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
76,DB00280,Disopyramide,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
77,DB00281,Lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C
78,DB00282,Pamidronic acid,NCCC(O)(P(=O)(O)O)P(=O)(O)O
79,DB00284,Acarbose,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]([C@H](O)[C@@H](O)C=O)[C@H](O)CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
80,DB00285,Venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
81,DB00286,Conjugated estrogens,CC12CCC3C(=CCC4=C3C=CC(=C4)OS(=O)(=O)[O-])C1CCC2=O.[Na+]
82,DB00287,Travoprost,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)COc2cccc(C(F)(F)F)c2)[C@H](O)C[C@@H]1O
83,DB00289,Atomoxetine,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
84,DB00290,Bleomycin,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1c[nH]cn1
85,DB00295,Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
86,DB00297,Bupivacaine,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
87,DB00302,Tranexamic acid,NC[C@H]1CC[C@H](C(=O)O)CC1
88,DB00304,Desogestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC
89,DB00305,Mitomycin,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
90,DB00307,Bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
91,DB00308,Ibutilide,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
92,DB00310,Chlorthalidone,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
93,DB00313,Valproic acid,CCCC(CCC)C(=O)O
94,DB00315,Zolmitriptan,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12
95,DB00316,Acetaminophen,CC(=O)Nc1ccc(O)cc1
96,DB00318,Codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
97,DB00320,Dihydroergotamine,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
98,DB00321,Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21
99,DB00323,Tolcapone,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
100,DB00324,Fluorometholone,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
101,DB00325,Nitroprusside,N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O
102,DB00327,Hydromorphone,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
103,DB00328,Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
104,DB00331,Metformin,CN(C)C(=N)NC(=N)N
105,DB00332,Ipratropium,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
106,DB00333,Methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
107,DB00334,Olanzapine,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
108,DB00335,Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
109,DB00337,Pimecrolimus,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
110,DB00338,Omeprazole,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1
111,DB00342,Terfenadine,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
112,DB00343,Diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
113,DB00346,Alfuzosin,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
114,DB00350,Minoxidil,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
115,DB00351,Megestrol acetate,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
116,DB00352,Tioguanine,Nc1nc(=S)c2[nH]cnc2[nH]1
117,DB00353,Methylergometrine,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
118,DB00354,Buclizine,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1
119,DB00356,Chlorzoxazone,O=c1[nH]c2cc(Cl)ccc2o1
120,DB00357,Aminoglutethimide,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
121,DB00361,Vinorelbine,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2
122,DB00363,Clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
123,DB00364,Sucralfate,O.O=S(=O)(OC[C@H]1O[C@@](COS(=O)(=O)O[Al](O)O)(O[C@H]2O[C@H](COS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@H]2OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O)O[Al](O)O.O[Al](O)O
124,DB00366,Doxylamine,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
125,DB00367,Levonorgestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
126,DB00368,Norepinephrine,NC[C@H](O)c1ccc(O)c(O)c1
127,DB00371,Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O
128,DB00373,Timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
129,DB00374,Treprostinil,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O
130,DB00376,Trihexyphenidyl,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
131,DB00379,Mexiletine,Cc1cccc(C)c1OCC(C)N
132,DB00380,Dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
133,DB00381,Amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
134,DB00382,Tacrine,Nc1c2c(nc3ccccc13)CCCC2
135,DB00384,Triamterene,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
136,DB00385,Valrubicin,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O
137,DB00387,Procyclidine,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
138,DB00388,Phenylephrine,CNC[C@H](O)c1cccc(O)c1
139,DB00390,Digoxin,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
140,DB00393,Nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
141,DB00394,Beclomethasone dipropionate,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C
142,DB00396,Progesterone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
143,DB00397,Phenylpropanolamine,CC(N)C(O)c1ccccc1
144,DB00398,Sorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
145,DB00399,Zoledronic acid,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
146,DB00401,Nisoldipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
147,DB00404,Alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
148,DB00407,Ardeparin,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
149,DB00408,Loxapine,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
150,DB00412,Rosiglitazone,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
151,DB00413,Pramipexole,CCCN[C@H]1CCc2nc(N)sc2C1
152,DB00414,Acetohexamide,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
153,DB00419,Miglustat,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
154,DB00421,Spironolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12
155,DB00422,Methylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1
156,DB00424,Hyoscyamine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2
157,DB00428,Streptozocin,CN(N=O)C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O
158,DB00433,Prochlorperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
159,DB00434,Cyproheptadine,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
160,DB00436,Bendroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
161,DB00437,Allopurinol,Oc1ncnc2[nH]ncc12
162,DB00440,Trimethoprim,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
163,DB00441,Gemcitabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
164,DB00443,Betamethasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
165,DB00444,Teniposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
166,DB00445,Epirubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1
167,DB00448,Lansoprazole,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1
168,DB00449,Dipivefrin,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1
169,DB00451,Levothyroxine,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
170,DB00454,Meperidine,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
171,DB00457,Prazosin,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
172,DB00458,Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21
173,DB00461,Nabumetone,COc1ccc2cc(CCC(C)=O)ccc2c1
174,DB00464,Sodium tetradecyl sulfate,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+]
175,DB00465,Ketorolac,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
176,DB00468,Quinine,C=C[C@H]1C[N@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
177,DB00470,Dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
178,DB00471,Montelukast,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
179,DB00472,Fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
180,DB00475,Chlordiazepoxide,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
181,DB00476,Duloxetine,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
182,DB00477,Chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
183,DB00480,Lenalidomide,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O
184,DB00481,Raloxifene,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
185,DB00482,Celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
