Name,Disease,Description
seizures,D012640,"Seizures, OMIM ID 'D012640', are a neurological disorder primarily characterized by sudden, unexpected disruption of the brain's normal electrical activity resulting in transient but often dramatic physical manifestations. This condition may be classified into multiple types including focal seizures, generalized seizures, and unknown onset seizures depending on the site of the aberrant neural activity. The disease can be linked to a number of genetic mutations such as those involving the SCN1A, GABRG2, or KCNQ2 genes, which encode important ion channels and GABA receptors instrumental in neural electrochemical balance. Altered function or expression of these proteins can disrupt the voltage-gated ion channel activity and synaptic transmission, leading to neuronal hyperexcitability and seizure occurrence. Associated comorbidities often include cognitive impairments, mood disorders, and an increased risk of sudden unexpected death in epilepsy (SUDEP). Commonly prescribed antiepileptic drugs including carbamazepine, levetiracetam, and valproic acid operate primarily by modulating ion channel function or enhancing inhibitory neurotransmission, thereby restoring the balance of neuronal excitation and inhibition. Seizures could be sporadic or have inheritance patterns such as autosomal dominant or X-linked, highlighting a significant genetic component. The clinical symptoms are largely dependent on the seizure type and may include uncontrolled jerking movements, loss of consciousness, or subtle behavioral changes. The diagnosis of seizures typically incorporates EEG to detect abnormal brain electrical activity, alongside careful clinical observation and patient history. This complex disorder thus interweaves genetic, cellular, and pharmacological components offering opportunities for targeted therapeutic interventions."
stevens-johnson syndrome,D013262,"Stevens-Johnson Syndrome (SJS), with OMIM ID 'D013262', is a serious and potentially fatal condition classified under dermatologic diseases, recognized by widespread erythema, necrosis, and bullous detachment of the epidermis and mucous membranes, resulting in exfoliation and possible sepsis and/or death. Although the specific etymology remains unknown, SJS has been associated with several genes, including HLA-B*1502, CYP2C9, and ABCB1, potentially contributing to the underlying pathological process through an aberrant immune reaction. This implicates immune pathway signaling, notably involving major histocompatibility complex (MHC), T-lymphocytes, and cytotoxic reactions, key cellular components pertinent to the suspected drug-induced hypersensitivity reactions. Commonly used drugs associated with SJS include antiepileptic agents like carbamazepine, allopurinol, and antibiotics such as sulfonamides, working through hitherto poorly understood mechanisms possibly linked to formation of drug-specific T-cell receptors or haptenization. Clinically, SJS is characterized by initial flu-like symptoms that rapidly progress to a painful rash, blisters, and skin shedding. Patients are also at risk of difficult complications such as secondary skin infection, sepsis, and ocular involvement leading to visual impairment. While SJS does not have strictly defined types, it is part of a disease spectrum with Toxic Epidermal Necrolysis (TEN) at the severe end. It exhibits idiosyncratic patterns of drug-associated genetic risk, such as HLA-B*1502 allele with carbamazepine-induced SJS/TEN, typically not inherited in Mendelian patterns but demonstrating a clear genetic predisposition. Diagnosed primarily through clinical investigation, laboratory evaluation of suspected drug culprits, and potentially through skin biopsy, SJS remains a major challenge in clinical and research settings."
substance withdrawal syndrome,D013375,"Substance withdrawal syndrome (SWD; OMIM ID D013375) is a neuroadaptive disorder characterized by various physiological and cognitive changes following abrupt cessation or reduction in prolonged substance use. Symptomatic manifestations typically include anxiety, irritability, insomnia, and physical symptoms such as sweating and palpitations. Several types of SWD are recognized depending upon the substance of abuse which typically include alcohol, opioids, and benzodiazepines. Genetic determinants play a pivotal role in the pathogenesis and progression of SWD, with single nucleotide polymorphisms in DRD2, OPRM1, and GABRA2 genes being implicated in susceptibility to SWD. Altered dopamine and GABAergic signaling pathways are also linked to the pathophysiology of SWD. Various pharmacotherapies are utilized in the management of SWD ?€? exemplifying this, methadone (a mu-opioid receptor agonist) and buprenorphine (a partial mu-opioid receptor agonist) are employed for opioid withdrawal, whereas benzodiazepines, which augment GABA receptor function, are often used for alcohol withdrawal. Patients may develop comorbid depression, anxiety, or other substance use disorders, exacerbating the complexity of treatment. Diagnosis principally relies on the manifestation of withdrawal symptoms after cessation or reduction of the substance in question, confirmed via time-sensitive, objective tests such as urine toxicology screenings. With a complex multifactorial etiology, considering both the genetic and environmental component, further exploration into its pathophysiology will be crucial for the development of more effective therapies."
hypophosphatemia,D017674,"Hypophosphatemia is an intricate metabolic disorder, represented by OMIM ID 'D017674', prominently characterized by persistently low levels of phosphate in the blood. It encompasses multiple subtypes, including X-linked hypophosphatemia (XLH), autosomal dominant and autosomal recessive hypophosphatemia, which manifest distinct inheritance patterns. This genetic heterogeneity is reflected by divergent associated genes, proteins, or mutations, with examples such as the PHEX gene mutation causing XLH, and mutations in SLC34A1 or SLC34A3 leading to autosomal disorders. The disruption in signal pathways are usually exemplified at the molecular level with malfunctioning sodium-phosphate co-transporters in renal tubules, altering the regulation of phosphate homeostasis. Its clinical presentation majorly includes bone pain, muscle weakness, and stunted growth, hinting towards the underlying biochemical disturbances. Associated comorbidities often involve osteomalacia or rickets in adults and children, respectively. Despite these complications, treatment avenues exist in the form of drugs like calcitriol, phosphate supplements, and FGF23 antibody - Burosumab, collectively aiming to restore phosphate-calcium balance and suppress disease progression. Diagnosis of hypophosphatemia embraces determinations of serum phosphate concentration, renal phosphate excretion, and genetic testing to corroborate presence of mutations. Due to its nature, hypophosphatemia demands an integrated understanding through multi-disciplinary lenses of genetics, pharmacology, and clinical medicine for optimal disease management and patient care.
"
neurobehavioral manifestations,D019954,"Neurobehavioral manifestations, denoted by OMIM ID D019954, are complex psychiatric and neurological disorders typically implicated by genetic variability in the dopamine receptor D4 (DRD4), catechol-O-methyltransferase (COMT), and the serotonin transporter (5-HTT). This disorder involves the dysregulation of signal pathways, chiefly the dopaminergic and serotonergic systems, known for their significant role in influencing various cognitive and behavioral processes. Neurobehavioral manifestations may be managed with pharmacological agents, such as Selective Serotonin Reuptake Inhibitors (SSRIs) designed to modulate serotonin levels, Monoamine Oxidase Inhibitors (MAOIs) responsible for inhibiting COMT enzymatic activity, and atypical antipsychotics, such as risperidone, which interacts with DRD4 receptors. These manifestations are frequently comorbid with depressive and anxiety disorders, and can lead to severe complications, including personality disorders and cognitive impairment. They are essentially phenotypic expressions of underlying neurochemical imbalances that induce a broad array of symptoms, such as disturbances in mood, cognition, perception, and social behavior, often punctuated by episodes of psychosis. Subtypes of the disorder may present distinctly in clinical settings, including neurodevelopmental, neuropsychiatric, and neurocognitive variants, each associated with subtly different gene expressions. Many such gene-to-behavior correlations are believed to have inherited patterns with complex multi-gene influences, as seen in over-transmission of the 7-repeat allele of DRD4 in afflicted individuals. Diagnostic workups typically involve psychological evaluations using validated tools, such as the Brief Psychiatric Rating Scale (BPRS) and the Positive and Negative Syndrome Scale (PANSS), along with molecular genetic testing to identify implicated gene or protein alterations."
"vasospasm, intracranial",D020301,"Vasospasm, intracranial, as indicated by OMIM ID D020301, is a challenging pathological condition characterized by an intense narrowing of cerebral arteries, which dramatically reduces the blood supply to the brain. The nature of the disease has been linked to a notable series of genes, proteins, and mutations, such as the Notch Signaling Pathway, Endothelin-1 (EDN1) variant, and Nitric Oxide Synthase (NOS3) mutation. Associated drugs such as nimodipine, a calcium channel blocker, is commonly utilized to reduce vasospasms by inhibiting the amount of calcium that enters vascular smooth muscle and, in turn, reduces the contractile force. Another drug, verapamil, works similarly by blocking L-type calcium channels, while magnesium sulphate enhances vasodilation through an antagonistic effect on calcium channels. Daily systemic hypertension therapy using phenylephrine or norepinephrine also shows efficacy. The course of this disease involves severe headaches, loss of consciousness, and neurological deficits which can further lead to complications such as delayed cerebral ischemia and potentially, stroke. Intracranial aneurysm and subarachnoid hemorrhage are linked comorbidities that further complicate this disease type. While the disease inheritance pattern is still inconclusive, a familial predisposition driven by genetic components like EDN1 variants is being explored. Accurate diagnosis requires a high degree of suspicion followed by confirmatory tests like transcranial Doppler ultrasonography or cerebral angiography, both detecting the cerebral artery blood flow velocity. An integrative approach is paramount in managing intracranial vasospasm, this includes vigilant identification of symptoms and prompt initiation of treatment to improve neurological outcomes and mitigate grave complications.
"
adenocarcinoma of lung,C538231,"Adenocarcinoma of the lung (OMIM ID: C538231) is a subtype of non-small cell lung cancer (NSCLC), with a substantially intricate genetic profile, entailing mutations in the EGFR, KRAS, and ALK genes, which code for key proteins involved in signal transduction pathways that modulate cell growth and division. Notably linked to the PI3K/AKT/mTOR and RAS/RAF/MEK/ERK pathways, its progression involves the dysregulation of these essential molecular and cellular components, leading to uncontrolled cellular proliferation. Tailored therapeutic schemes often include tyrosine kinase inhibitors (TKIs) such as erlotinib and gefitinib for EGFR mutations, crizotinib for ALK rearrangements, and traditional chemotherapy agents such as cisplatin, targeting cell division. Comorbidities commonly associated with this condition include chronic obstructive pulmonary disease (COPD) and interstitial lung disease, which significantly exacerbate the already severe respiratory distress. The refractory nature of adenocarcinoma, accompanied by clinical signs like persistent cough, hemoptysis and chest pain, categorizes it as an invasive disease. It is classified further based on pathological features into acinar, papillary, micropapillary, and solid subtypes, each with distinct clinical implications. While typically sporadic, familial clustering suggests a genetic component, possibly mediated through germline mutations in genes like EGFR and TERT. Diagnosis involves comprehensive assessment of clinical features, radiological imaging, and definitive cytological confirmation through biopsy, followed by histopathological examination and molecular testing to identify actionable mutations.
"
adenocarcinoma,D000230,"Adenocarcinoma (OMIM ID: D000230) represents a diverse group of malignancies originating from glandular epithelial cells and occurs in many different tissue types, including lung, colon, breast, and prostate. Certain genetic alterations such as mutations in KRAS, TP53, and EGFR genes represent key drivers behind its pathogenesis and influence disease progression. Intricate signal pathways, notably the MAPK/ERK pathway, involving various molecular and cellular components, significantly modulate the disease process. Management approaches frequently involve targeted therapies, such as Erlotinib, Cetuximab, and Bevacizumab, which respectively impede EGFR tyrosine kinase activity, obstruct EGFR extracellular binding sites, and inhibit the formation of new blood vessels (angiogenesis). Adenocarcinoma is often correlated with complications and comorbidities, including metastasis and paraneoplastic syndromes. Clinically, the presentation greatly depends on the organ involved, but weight loss, pain, and organ dysfunction can be common symptoms. Inheritance patterns often follow a sporadic occurrence; however, a small subset, primarily of colorectal adenocarcinomas, exhibits a Mendelian inheritance pattern linked to mutations in DNA mismatch repair genes. Diagnostic criteria are typically based on histopathological evaluation from biopsy samples juxtaposed with clinical symptoms and imaging studies. Therefore, understanding the genetic, molecular mechanisms, and clinical aspects of adenocarcinomas provide crucial inputs in refining therapeutic approaches and improving patient management strategies."
agranulocytosis,D000380,"Agranulocytosis, represented by OMIM ID 'D000380', is a rare and severe condition characterized by a marked decrease in the number of granulocytes, leading to a subsequent decline in white blood cells. Researchers attribute its cause to various genetic factors, with key genes including the HLA-B*38:01, CYP2D6, and SLC22A2 gene mutations significantly contributing to the disease. The abnormal gene activity affects a variety of cellular components, impacting crucial signaling pathways such as JAK/STAT and PI3/AKT pathways lead to the failure of granulocytes production. The common therapeutics for this disease mainly consist of granulocyte-colony stimulating factors (G-CSF), immunosuppressive drugs like cyclosporine, and hematopoietic stem cell transplantation. These treatments are designed to stimulate the production of granulocytes, suppress the overactive immune system, or replace the dysfunctional bone marrow, respectively. Potential comorbidities include bacterial infections and sepsis, as the drop-in granulocytes compromises the immune system. Patients typically present with frequent or severe infections, fever, fatigue, and sores in the mouth or throat. Certain types of agranulocytosis, such as drug-induced agranulocytosis, can be acute and transient, while others may be chronic. The disease commonly presents as an autosomal recessive condition, whereby patients inherit one mutated copy of the gene from each parent, although other inheritance patterns have been reported. Diagnostic assessment usually entails complete blood count tests, bone marrow examination, and genetic testing to identify potential mutation in pertinent genes. The collective understanding of agranulocytosis as a disease emphasizes its variability, its connection to genetic factors and immune responses, and the importance of personalized treatment strategies for optimal patient care."
alopecia,D000505,"Alopecia, a disorder categorised under OMIM ID: D000505, is primarily a condition of hair loss or baldness, with broad variations including Alopecia Areata, Totalis, and Universalis. It often emerges through the mutation or disruption of several genes, comprising HR, LIPH, and AR. Defects in the HR protein, for instance, are responsible for hairless phenotype in rodents and humans. Alopecia's development is linked to aberrations in the Wnt signaling pathway, which plays a critical role in hair follicle development. Typical clinical signals include abrupt hair loss, often beginning with one or more circular bald patches that may overlap. The disease, which can affect both genders, frequently manifests as an autoimmune response where the body?€?s immune system mistakenly attacks hair follicles, causing hair to fall out. Tuning the immune response, topical corticosteroids, minoxidil, and anthralin are among the commonly considered pharmacological measures of treating alopecia, working respectively by reducing inflammation, enhancing hair regrowth, and arousing skin cell growth. Alopecia can be linked to comorbidities such as atopic dermatitis and autoimmune thyroid diseases and may lead to significant psychological stress or complications, including depression and social anxiety. As per the inheritance pattern, the disease often follows autosomal dominant inheritance with variable expressivity. Diagnosis primarily involves clinical examination, supplemented with a pull test, scalp biopsy, or blood tests to exclude similar looking diseases. To conclude, the complex genetic, pathological, and psychosocial intersections of Alopecia necessitate an ongoing commitment to biomedical research and the development of effective treatments."
anemia,D000740,"Anemia, classified under OMIM database ID 'D000740', is a heterogeneous group of hematological disorders characterized by decreased hemoglobin levels due to dysregulation of red blood cell (RBC) production, survival, or a deficit in the production of hemoglobin (5). The disease can be a result of several gene mutations such as those in the HBB gene which produces hemoglobin, the G6PD gene responsible for Glucose-6-phosphate dehydrogenase enzyme, or the JAK2 gene implicated in polycythemia vera?€?a type of myeloproliferative anemia?€?highlighting the genetic complexity associated with the disease (1). These mutations disrupt key components of the erythropoietin (EPO) signaling pathway that play a crucial role in the survival, growth, and differentiation of erythroid progenitor cells (2). Clinically, patients present with symptoms such as pallor, fatigue, shortness of breath, and tachycardia and are more susceptible to cardiovascular comorbidities or complications like heart failure and arrhythmias (4,6). Common forms of anemia include iron deficiency anemia, hemolytic anemia, and aplastic anemia, each with its unique pathophysiology and genetic components (5,7). Regularly, the disease can be inherited in autosomal recessive, dominant, or X-linked patterns depending on the implicated gene, exemplifying the hereditary aspects of the disease (8). Standard treatment approaches for anemia encompass iron supplements for iron deficiency anemia, steroids or immunosuppressants for aplastic anemia and hydroxyurea, blood transfusions, or bone marrow transplants for sickle cell anemia, each drug targeting the unique pathophysiological mechanism associated with the type of anemia (3). Diagnostic criteria for anemia include hemoglobin levels less than 13 g/dL in men and less than 12 g/dL in women, and assessment of red blood cell indices, often supplemented by specific tests such as serum iron studies, hemoglobin electrophoresis, or bone marrow biopsy depending on the suspected cause (9).
"
