ID,Drug,SMILES,Name
30,DB00788,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,Naproxen
31,DB01167,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,Itraconazole
32,DB01026,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,Ketoconazole
33,DB01248,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,Docetaxel
34,DB00541,CC[C@]1(O)C[C@@H]2C[N@@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,Vincristine
35,DB00996,NCC1(CC(=O)O)CCCCC1,Gabapentin
36,DB00262,O=NN(CCCl)C(=O)NCCCl,Carmustine
37,DB00619,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Imatinib
38,DB00864,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,Tacrolimus
39,DB00770,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,Alprostadil
40,DB00755,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,Tretinoin
41,DB00909,NS(=O)(=O)Cc1noc2ccccc12,Zonisamide
42,DB00472,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,Fluoxetine
43,DB00926,CCOC(=O)C=C(C)C=CC=C(C)C=Cc1c(C)cc(OC)c(C)c1C,Etretinate
44,DB00181,NCC(CC(=O)O)c1ccc(Cl)cc1,Baclofen
45,DB00328,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Indomethacin
46,DB00936,O=C(O)c1ccccc1O,Salicylic acid
47,DB01008,CS(=O)(=O)OCCCCOS(C)(=O)=O,Busulfan
48,DB01165,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Ofloxacin
49,DB01005,NC(=O)NO,Hydroxyurea
50,DB00136,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Calcitriol
51,DB00794,CCC1(c2ccccc2)C(=O)NCNC1=O,Primidone
52,DB00482,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,Celecoxib
53,DB00916,Cc1ncc([N+](=O)[O-])n1CCO,Metronidazole
54,DB00399,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,Zoledronic acid
55,DB00282,NCCC(O)(P(=O)(O)O)P(=O)(O)O,Pamidronic acid
56,DB01219,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,Dantrolene
57,DB00977,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,Ethinylestradiol
58,DB00883,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],Isosorbide dinitrate
59,DB01050,CC(C)Cc1ccc(C(C)C(=O)O)cc1,Ibuprofen
60,DB00570,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,Vinblastine
61,DB00537,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,Ciprofloxacin
62,DB00242,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,Cladribine
63,DB14512,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,Mometasone furoate
64,DB00692,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,Phentolamine
65,DB00338,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,Omeprazole
66,DB01101,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,Capecitabine
67,DB01590,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Everolimus
68,DB00571,CC(C)NCC(O)COc1cccc2ccccc12,Propranolol
69,DB01013,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,Clobetasol propionate
70,DB00722,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,Lisinopril
71,DB00434,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,Cyproheptadine
72,DB01058,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,Praziquantel
73,DB01222,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,Budesonide
74,DB00991,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,Oxaprozin
75,DB01059,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,Norfloxacin
76,DB03209,O=C(O)c1nc(=O)[nH]c(=O)[nH]1,Oteracil
77,DB00783,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,Estradiol
78,DB01204,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,Mitoxantrone
79,DB00248,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,Cabergoline
80,DB01037,C#CCN(C)[C@H](C)Cc1ccccc1,Selegiline
81,DB00712,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,Flurbiprofen
82,DB06769,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,Bendamustine
83,DB01174,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,Phenobarbital
84,DB01202,CC[C@@H](C(N)=O)N1CCCC1=O,Levetiracetam
85,DB01070,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3\C[C@@H](O)CC[C@@H]3C)CCC[C@]12C,Dihydrotachysterol
86,DB01039,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,Fenofibrate
87,DB00776,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,Oxcarbazepine
88,DB00717,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,Norethisterone
89,DB01197,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,Captopril
90,DB01203,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,Nadolol
91,DB00970,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,Dactinomycin
92,DB00153,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,Ergocalciferol
93,DB00285,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,Venlafaxine
94,DB00603,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,Medroxyprogesterone acetate
95,DB00682,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,Warfarin
96,DB01263,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,Posaconazole
97,DB00381,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,Amlodipine
98,DB00163,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,Vitamin E
99,DB01211,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,Clarithromycin
100,DB01390,O=C([O-])O.[Na+],Sodium bicarbonate
101,DB01210,CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O,Levobunolol
102,DB01009,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,Ketoprofen
103,DB00227,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,Lovastatin
104,DB12947,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,Doxifluridine
105,DB00727,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],Nitroglycerin
106,DB00421,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,Spironolactone
107,DB00806,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,Pentoxifylline
108,DB00852,CN[C@@H](C)[C@@H](O)c1ccccc1,Pseudoephedrine
109,DB09256,O=c1[nH]c(=O)n(C2CCCO2)cc1F,Tegafur
110,DB00444,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,Teniposide
111,DB00586,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Diclofenac
112,DB00564,NC(=O)N1c2ccccc2C=Cc2ccccc21,Carbamazepine
113,DB00230,CC(C)C[C@H](CN)CC(=O)O,Pregabalin
114,DB00668,CNC[C@H](O)c1ccc(O)c(O)c1,Epinephrine
115,DB00169,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,Cholecalciferol
116,DB01029,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,Irbesartan
117,DB00359,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,Sulfadiazine
118,DB00661,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,Verapamil
119,DB00264,COCCc1ccc(OCC(O)CNC(C)C)cc1,Metoprolol
120,DB00927,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,Famotidine
121,DB00851,CN(C)/N=N/c1[nH]cnc1C(N)=O,Dacarbazine
122,DB01254,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,Dasatinib
123,DB00501,CN/C(=N/C#N)NCCSCc1nc[nH]c1C,Cimetidine
124,DB00268,CCCN(CCC)CCc1cccc2c1CC(=O)N2,Ropinirole
125,DB00394,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,Beclomethasone dipropionate
126,DB00440,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,Trimethoprim
127,DB00178,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,Ramipril
128,DB00881,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,Quinapril
129,DB00759,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,Tetracycline
130,DB06819,O=C(O)CCCc1ccccc1,Phenylbutyric acid
131,DB00630,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,Alendronic acid
132,DB00519,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,Trandolapril
133,DB00657,CNC1(C)C2CCC(C2)C1(C)C,Mecamylamine
134,DB11596,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,Levoleucovorin
135,DB01088,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,Iloprost
136,DB00554,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,Piroxicam
137,DB00502,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Haloperidol
138,DB00829,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,Diazepam
139,DB00290,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1c[nH]cn1,Bleomycin
140,DB01099,Nc1nc(=O)[nH]cc1F,Flucytosine
141,DB00322,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,Floxuridine
142,DB00605,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,Sulindac
143,DB00758,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,Clopidogrel
144,DB00413,CCCN[C@H]1CCc2nc(N)sc2C1,Pramipexole
145,DB00643,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,Mebendazole
146,DB00678,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,Losartan
147,DB00585,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,Nizatidine
148,DB00448,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,Lansoprazole
149,DB00764,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl,Mometasone
150,DB05271,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,Rotigotine
151,DB00035,N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,Desmopressin
152,DB06791,CC(C)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(NC(=O)C(N)Cc2ccc3ccccc3c2)CSSCC(C(=O)NC(C(N)=O)C(C)O)NC1=O,Lanreotide
153,DB00335,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,Atenolol
154,DB00602,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,Ivermectin
155,DB00250,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,Dapsone
156,DB00500,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,Tolmetin
157,DB01110,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,Miconazole
158,DB00598,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,Labetalol
159,DB00257,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,Clotrimazole
160,DB00887,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,Bumetanide
161,DB01238,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,Aripiprazole
162,DB01136,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,Carvedilol
163,DB00588,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,Fluticasone propionate
164,DB01242,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,Clomipramine
165,DB00492,CCC(=O)O[C@@H](O[P@@](=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,Fosinopril
166,DB01235,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,Levodopa
167,DB06781,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,Difluprednate
168,DB01041,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,Thalidomide
169,DB00795,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,Sulfasalazine
170,DB00694,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,Daunorubicin
171,DB01033,S=c1nc[nH]c2nc[nH]c12,Mercaptopurine
172,DB00819,CC(=O)Nc1nnc(S(N)(=O)=O)s1,Acetazolamide
173,DB00695,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,Furosemide
174,DB00573,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,Fenoprofen
175,DB01410,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,Ciclesonide
176,DB00215,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,Citalopram
177,DB01066,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1,Cefditoren
178,DB02701,NC(=O)c1cccnc1,Nicotinamide
179,DB00419,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,Miglustat
180,DB00999,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,Hydrochlorothiazide
181,DB00559,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,Bosentan
182,DB01240,CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)O[C@H]2C[C@H]1O,Epoprostenol
183,DB00989,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,Rivastigmine
184,DB00911,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,Tinidazole
185,DB00846,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,Flurandrenolide
186,DB06151,CC(=O)N[C@@H](CS)C(=O)O,Acetylcysteine
187,DB00427,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,Triprolidine
