,DrugBank ID,OMIM ID
302,DB00184,D013921
303,DB00184,D014839
304,DB00184,D018487
305,DB00343,D004832
306,DB01396,D009369
307,DB01396,D009503
308,DB01396,D010292
309,DB00740,D001008
310,DB00740,D001259
311,DB00740,D003251
312,DB00740,D004830
313,DB00740,D006029
314,DB00740,D006970
315,DB00740,D007037
316,DB00740,D009207
317,DB00740,D010291
318,DB00740,D011507
319,DB00740,D012640
320,DB00740,D013262
321,DB00740,D013375
322,DB00740,D017674
323,DB00740,D019954
324,DB00740,D020301
325,DB00571,D004244
326,DB00571,D004827
327,DB00571,D005923
328,DB00571,D006261
329,DB00571,D006973
330,DB00571,D007249
331,DB00571,D007319
332,DB00571,D007410
333,DB00571,D007431
334,DB00571,D007565
335,DB00571,D007859
336,DB00571,D008569
337,DB00571,D009069
338,DB00571,D009202
339,DB00571,D009205
340,DB00571,D009336
341,DB00571,D009369
342,DB00571,D009389
343,DB00571,D009503
344,DB00571,D010292
345,DB00571,D010302
346,DB00571,D011537
347,DB00571,D011782
348,DB00571,D012206
349,DB00571,D013610
350,DB00571,D013921
351,DB00571,D014693
352,DB00571,D015427
353,DB00571,D015428
354,DB00571,D015431
355,DB00571,D017180
356,DB00571,D018487
357,DB00571,D018754
358,DB00571,D020244
359,DB00571,D020257
360,DB00571,D020521
361,DB00571,D023921
362,DB00227,D004831
363,DB00227,D006973
364,DB00227,D007022
365,DB00227,D007249
366,DB00227,D007674
367,DB00227,D009135
368,DB00227,D009203
369,DB00227,D009503
370,DB00227,D010292
371,DB01132,D004831
372,DB01132,D007022
373,DB01132,D007249
374,DB01132,D007410
375,DB01132,D009503
376,DB01132,D014652
377,DB00921,D003327
378,DB00921,D003865
379,DB00921,D006973
380,DB00921,D009202
381,DB00921,D014202
382,DB00371,D004415
383,DB00371,D005317
384,DB00371,D005921
385,DB00371,D006261
386,DB00371,D006973
387,DB00371,D007008
388,DB00371,D007249
389,DB00371,D007752
390,DB00371,D008171
391,DB00371,D008545
392,DB00371,D009135
393,DB00371,D009203
394,DB00371,D009503
395,DB00371,D010146
396,DB00371,D010198
397,DB00371,D010292
398,DB00371,D010689
399,DB00371,D011537
400,DB00371,D012640
401,DB00371,D013921
402,DB00371,D013923
403,DB00371,D014839
404,DB00371,D015431
405,DB00371,D017674
406,DB00371,D018487
407,DB00371,D018754
408,DB00371,D020257
409,DB00371,D020300
410,DB00371,D020521
411,DB00544,D003967
412,DB00544,D004487
413,DB00544,D005767
414,DB00544,D009135
415,DB00544,D009203
416,DB00544,D009369
417,DB00544,D010292
418,DB00544,D013921
419,DB00544,D013923
420,DB00544,D018805
421,DB00594,D009369
422,DB00594,D009503
423,DB00594,D010051
424,DB00594,D010198
425,DB00594,D010292
426,DB00594,D018805
427,DB01043,D004244
428,DB01043,D004827
429,DB01043,D006973
430,DB01043,D007022
431,DB01043,D007249
432,DB01043,D009135
433,DB01043,D009203
434,DB01043,D009503
435,DB01043,D010292
436,DB01075,D003920
437,DB01075,D003921
438,DB01075,D003924
439,DB01075,D006949
440,DB01075,D006965
441,DB01075,D008114
442,DB01075,D008325
443,DB01075,D009361
444,DB01075,D011230
445,DB01075,D011565
446,DB01075,D011658
447,DB01075,D012878
448,DB01075,D013274
449,DB01075,D013964
450,DB01075,D015228
451,DB01075,D015430
452,DB01075,D015470
453,DB01075,D047508
454,DB01075,D054198
455,DB01165,D004827
456,DB01165,D004829
457,DB01165,D004830
458,DB01165,D006973
459,DB01165,D013921
460,DB01118,D001008
461,DB01118,D004830
462,DB01118,D013262
463,DB01118,D020301
464,DB00696,D006973
465,DB00696,D007674
466,DB00696,D010292
467,DB00696,D013921
468,DB00696,D013375
469,DB00696,D006261
470,DB00696,D006330
471,DB00696,D006332
472,DB00696,D006965
473,DB00696,D006974
474,DB00696,D007022
475,DB00696,D007249
476,DB00696,D007410
477,DB00696,D007431
478,DB00696,D007680
479,DB00696,D007938
480,DB00696,D008569
481,DB00696,D009069
482,DB00696,D009202
483,DB00696,D009336
484,DB00696,D009374
485,DB00696,D009389
486,DB00696,D009400
487,DB00696,D009404
488,DB00696,D009410
489,DB00696,D009503
490,DB00696,D010051
491,DB00696,D010195
492,DB00696,D010612
493,DB00696,D011537
494,DB00696,D011782
495,DB00696,D012206
496,DB00696,D012852
497,DB00696,D013610
498,DB00696,D014511
499,DB00696,D014657
500,DB00696,D015267
501,DB00696,D015428
502,DB00696,D015431
503,DB00696,D016584
504,DB00696,D016757
505,DB00696,D017180
506,DB00696,D017379
507,DB00696,D018366
508,DB00696,D018487
509,DB00696,D018754
510,DB00696,D019964
511,DB00696,D019970
512,DB00696,D020244
513,DB00696,D020257
514,DB00696,D020521
515,DB00696,D023921
516,DB00696,D029424
517,DB00696,D051437
518,DB00696,D054058
519,DB00696,D054537
520,DB00696,D056486
521,DB00696,D058186
522,DB00696,D062787
523,DB00696,D066126
524,DB00206,D009369
525,DB01065,D001008
526,DB01065,D001259
527,DB01065,D003251
528,DB01065,D004830
529,DB01065,D006029
530,DB01065,D006970
531,DB01065,D007037
532,DB01065,D009207
533,DB01065,D010291
534,DB01065,D011507
535,DB01065,D012640
536,DB01065,D013262
537,DB01065,D013375
538,DB01065,D017674
539,DB01065,D019954
540,DB01065,D020301
541,DB00694,D001281
542,DB00694,D006973
543,DB00694,D007022
544,DB00694,D007177
545,DB00694,D007249
546,DB00694,D007410
547,DB00694,D007676
548,DB00694,D008569
549,DB00694,D009069
550,DB00694,D009202
551,DB00694,D009205
552,DB00694,D009336
553,DB00694,D010190
554,DB00694,D010292
555,DB00694,D011537
556,DB00694,D013921
557,DB00694,D014693
558,DB00694,D015427
559,DB00694,D015428
560,DB00694,D015431
561,DB04557,D001281
562,DB04557,D001282
563,DB04557,D003327
564,DB04557,D004415
565,DB04557,D006332
566,DB04557,D007249
567,DB04557,D007319
568,DB04557,D007333
569,DB04557,D007410
570,DB04557,D008569
571,DB04557,D009069
572,DB04557,D009202
573,DB04557,D009336
574,DB04557,D010292
575,DB04557,D010302
576,DB04557,D011537
577,DB04557,D013921
578,DB04557,D014202
579,DB00158,D006973
580,DB00158,D007022
581,DB00158,D007249
582,DB00158,D007674
583,DB00158,D008171
584,DB00158,D008545
585,DB00158,D009135
586,DB00158,D009203
587,DB00158,D009503
588,DB00158,D010292
589,DB00158,D010689
590,DB00158,D011471
591,DB00158,D013921
592,DB00158,D014839
593,DB00158,D017202
594,DB00177,D003327
595,DB00177,D006973
596,DB00177,D007022
597,DB00177,D007249
598,DB00177,D009369
599,DB00177,D010292
600,DB00584,D004830
601,DB00584,D006973
602,DB00584,D007022
603,DB00584,D007249
604,DB00584,D007319
605,DB00584,D007410
606,DB00584,D009069
607,DB00584,D009135
608,DB00584,D009202
609,DB00584,D009205
610,DB00584,D009336
611,DB00584,D009410
612,DB00584,D010292
613,DB00584,D010302
614,DB00584,D011537
615,DB00584,D011782
616,DB00584,D012206
617,DB00584,D013280
618,DB00584,D013610
619,DB00584,D014693
620,DB00584,D015427
621,DB00584,D015428
622,DB00584,D015431
623,DB00584,D018487
624,DB00584,D020257
625,DB01032,D001145
626,DB01032,D001168
627,DB01032,D001169
628,DB01032,D001172
629,DB01032,D001249
630,DB01032,D001284
631,DB01032,D001289
632,DB01032,D001321
633,DB01032,D001416
634,DB01032,D001480
635,DB01032,D001714
636,DB01032,D001745
637,DB01032,D001778
638,DB01032,D001847
639,DB01032,D001855
640,DB01032,D001927
641,DB01032,D001928
642,DB01032,D001929
643,DB01032,D001930
644,DB01032,D001932
645,DB01032,D001986
646,DB01032,D002051
647,DB01032,D002303
648,DB01032,D002375
649,DB01032,D002385
650,DB01032,D002386
651,DB01032,D002389
652,DB01032,D002526
653,DB01032,D002543
654,DB01032,D002544
655,DB01032,D002545
656,DB01032,D002546
657,DB01032,D002561
658,DB01032,D002637
659,DB01032,D002658
660,DB01032,D002761
661,DB01032,D002769
662,DB01032,D002779
663,DB01032,D002780
664,DB01032,D002819
665,DB01032,D002972
666,DB01032,D003092
667,DB01032,D003110
668,DB01032,D003117
669,DB01032,D003128
670,DB01032,D003221
671,DB01032,D003231
672,DB01032,D003244
673,DB01032,D003329
674,DB01032,D003371
675,DB01032,D003556
676,DB01032,D003638
677,DB01032,D003645
678,DB01032,D003711
679,DB01032,D003865
680,DB01032,D003873
681,DB01032,D003882
682,DB01032,D003928
683,DB01032,D003929
684,DB01032,D004213
685,DB01032,D004401
686,DB01032,D004415
687,DB01032,D004681
688,DB01032,D004775
689,DB01032,D004802
690,DB01032,D004827
691,DB01032,D004829
692,DB01032,D004831
693,DB01032,D004832
694,DB01032,D004893
695,DB01032,D005076
696,DB01032,D005119
697,DB01032,D005128
698,DB01032,D005313
699,DB01032,D005315
700,DB01032,D005687
701,DB01032,D005756
702,DB01032,D005759
703,DB01032,D005909
704,DB01032,D006073
705,DB01032,D006130
706,DB01032,D006177
707,DB01032,D006212
708,DB01032,D006504
709,DB01032,D006529
710,DB01032,D006556
711,DB01032,D006606
712,DB01032,D006869
713,DB01032,D006934
714,DB01032,D006945
715,DB01032,D006967
716,DB01032,D006974
717,DB01032,D006980
718,DB01032,D007003
719,DB01032,D007008
720,DB01032,D007174
721,DB01032,D007235
722,DB01032,D007247
723,DB01032,D007681
724,DB01032,D007683
725,DB01032,D007752
726,DB01032,D007938
727,DB01032,D007945
728,DB01032,D007964
729,DB01032,D008064
730,DB01032,D008105
731,DB01032,D008178
732,DB01032,D008288
733,DB01032,D008581
734,DB01032,D008708
735,DB01032,D009103
736,DB01032,D009120
737,DB01032,D009123
738,DB01032,D009128
739,DB01032,D009140
740,DB01032,D009293
741,DB01032,D009357
742,DB01032,D009468
743,DB01032,D009759
744,DB01032,D009798
745,DB01032,D009845
746,DB01032,D009846
747,DB01032,D010019
748,DB01032,D010024
749,DB01032,D010211
750,DB01032,D010243
751,DB01032,D010264
752,DB01032,D010488
753,DB01032,D010493
754,DB01032,D010538
755,DB01032,D010554
756,DB01032,D010673
757,DB01032,D010787
758,DB01032,D010911
759,DB01032,D011596
760,DB01032,D011695
761,DB01032,D011704
762,DB01032,D011928
763,DB01032,D012019
764,DB01032,D012120
765,DB01032,D012141
766,DB01032,D012164
767,DB01032,D012208
768,DB01032,D012678
769,DB01032,D012769
770,DB01032,D012772
771,DB01032,D012804
772,DB01032,D012848
773,DB01032,D013035
774,DB01032,D013203
775,DB01032,D013614
776,DB01032,D013616
777,DB01032,D013651
778,DB01032,D013733
779,DB01032,D013736
780,DB01032,D013981
781,DB01032,D014456
782,DB01032,D014474
783,DB01032,D014594
784,DB01032,D015451
785,DB01032,D015464
786,DB01032,D015473
787,DB01032,D015674
788,DB01032,D015835
789,DB01032,D015877
790,DB01032,D016171
791,DB01032,D016491
792,DB01032,D016889
793,DB01032,D017116
794,DB01032,D017119
795,DB01032,D017563
796,DB01032,D018500
797,DB01032,D018879
798,DB01032,D019226
799,DB01032,D019584
800,DB01032,D019586
801,DB01032,D019955
802,DB01032,D019956
803,DB01032,D019957
804,DB01032,D019964
805,DB01032,D020138
806,DB01032,D020233
807,DB01032,D020250
808,DB01032,D020520
809,DB01032,D020795
810,DB01032,D020820
811,DB01032,D020964
812,DB01032,D023341
813,DB01032,D028361
814,DB01032,D034381
815,DB01032,D048629
816,DB01032,D049188
817,DB01032,D053099
818,DB01032,D053206
819,DB01032,D053608
820,DB01032,D053609
821,DB01032,D054038
822,DB01032,D054138
823,DB01032,D054218
824,DB01032,D055154
825,DB01032,D055370
826,DB01032,D056784
827,DB01032,D062787
828,DB01032,D065626
829,DB00472,D004415
830,DB00472,D004487
831,DB00472,D004715
832,DB00472,D004719
833,DB00472,D004775
834,DB00472,D004827
835,DB00472,D004829
836,DB00472,D004830
837,DB00472,D004831
838,DB00472,D004832
839,DB00472,D004893
840,DB00472,D005221
841,DB00472,D005234
842,DB00472,D005315
843,DB00472,D005317
844,DB00472,D005355
845,DB00472,D005687
846,DB00472,D005759
847,DB00472,D005921
848,DB00472,D005923
849,DB00472,D006177
850,DB00472,D006212
851,DB00472,D006261
852,DB00472,D006311
853,DB00472,D006312
854,DB00472,D006319
855,DB00472,D006327
856,DB00472,D006330
857,DB00472,D006332
858,DB00472,D006333
859,DB00472,D006345
860,DB00472,D006463
861,DB00472,D006470
862,DB00472,D006504
863,DB00472,D006529
864,DB00472,D006556
865,DB00472,D006606
866,DB00472,D006869
867,DB00472,D006930
868,DB00472,D006932
869,DB00472,D006934
870,DB00472,D006945
871,DB00472,D006946
872,DB00472,D006947
873,DB00472,D006948
874,DB00472,D006949
875,DB00472,D006965
876,DB00472,D006966
877,DB00472,D006967
878,DB00472,D006970
879,DB00472,D006973
880,DB00472,D006974
881,DB00472,D006975
882,DB00472,D006976
883,DB00472,D006977
884,DB00472,D006980
885,DB00472,D006984
886,DB00472,D006996
887,DB00472,D007003
888,DB00472,D007008
889,DB00472,D007010
890,DB00472,D007022
891,DB00472,D007024
892,DB00472,D007035
893,DB00472,D007174
894,DB00472,D007177
895,DB00472,D007235
896,DB00472,D007239
897,DB00472,D007247
898,DB00472,D007249
899,DB00472,D007319
900,DB00472,D007333
901,DB00472,D007410
902,DB00472,D007431
903,DB00472,D007565
904,DB00472,D007634
905,DB00472,D007674
906,DB00472,D007680
907,DB00472,D007681
908,DB00472,D007683
909,DB00472,D007752
910,DB00472,D007859
911,DB00472,D007938
912,DB00472,D007945
913,DB00472,D007964
914,DB00472,D007970
915,DB00472,D008064
916,DB00472,D008103
917,DB00472,D008105
918,DB00472,D008106
919,DB00472,D008107
920,DB00472,D008113
921,DB00472,D008114
922,DB00472,D008133
923,DB00472,D008171
924,DB00472,D008175
925,DB00472,D008178
926,DB00472,D008206
927,DB00472,D008223
928,DB00472,D008228
929,DB00472,D008288
930,DB00472,D008581
931,DB00472,D008582
932,DB00472,D008654
933,DB00472,D008708
934,DB00472,D008881
935,DB00472,D009069
936,DB00472,D009101
937,DB00472,D009102
938,DB00472,D009103
939,DB00472,D009122
940,DB00472,D009123
941,DB00472,D009127
942,DB00472,D009133
943,DB00472,D009135
944,DB00472,D009140
945,DB00472,D009202
946,DB00472,D009203
947,DB00472,D009205
948,DB00472,D009293
949,DB00472,D009336
950,DB00472,D009357
951,DB00472,D009369
952,DB00472,D009374
953,DB00472,D009389
954,DB00472,D009393
955,DB00472,D009400
956,DB00472,D009404
957,DB00472,D009410
958,DB00472,D009422
959,DB00472,D009436
960,DB00472,D009459
961,DB00472,D009461
962,DB00472,D009468
963,DB00472,D009503
964,DB00472,D009771
965,DB00472,D009798
966,DB00472,D009845
967,DB00472,D009846
968,DB00472,D009886
969,DB00472,D009896
970,DB00472,D009901
971,DB00472,D010003
972,DB00472,D010019
973,DB00472,D010024
974,DB00472,D010211
975,DB00472,D010243
976,DB00472,D010264
977,DB00472,D010300
978,DB00472,D010302
979,DB00472,D010437
980,DB00472,D010488
981,DB00472,D010490
982,DB00472,D010493
983,DB00472,D010538
984,DB00472,D010554
985,DB00472,D010612
986,DB00472,D010673
987,DB00472,D010787
988,DB00472,D010911
989,DB00472,D011014
990,DB00472,D011041
991,DB00472,D011115
992,DB00472,D011141
993,DB00472,D011183
994,DB00472,D011248
995,DB00472,D011297
996,DB00472,D011317
997,DB00472,D011537
998,DB00472,D011559
999,DB00472,D011595
1000,DB00472,D011596
1001,DB00472,D011618
1002,DB00472,D011693
1003,DB00472,D011704
1004,DB00472,D011928
1005,DB00472,D012019
1006,DB00472,D012021
1007,DB00472,D012131
1008,DB00472,D012141
1009,DB00472,D012148
1010,DB00472,D012164
1011,DB00472,D012208
1012,DB00472,D012559
1013,DB00472,D012563
1014,DB00472,D012678
1015,DB00472,D012769
1016,DB00472,D012772
1017,DB00472,D012798
1018,DB00472,D012804
1019,DB00472,D012817
1020,DB00472,D012848
1021,DB00472,D012852
1022,DB00472,D012871
1023,DB00472,D012878
1024,DB00472,D013009
1025,DB00472,D013035
1026,DB00472,D013226
1027,DB00472,D013276
1028,DB00472,D013313
1029,DB00472,D013342
1030,DB00472,D013614
1031,DB00472,D013616
1032,DB00472,D013651
1033,DB00472,D013733
1034,DB00472,D013736
1035,DB00472,D013981
1036,DB00472,D014103
1037,DB00472,D014202
1038,DB00472,D014456
1039,DB00472,D014474
1040,DB00472,D014549
1041,DB00472,D014555
1042,DB00472,D014581
1043,DB00472,D014594
1044,DB00472,D014657
1045,DB00472,D014786
1046,DB00472,D014987
1047,DB00472,D015179
1048,DB00472,D015267
1049,DB00472,D015430
1050,DB00472,D015451
1051,DB00472,D015464
1052,DB00472,D015473
1053,DB00472,D015674
1054,DB00472,D015746
1055,DB00472,D015835
1056,DB00472,D015877
1057,DB00472,D016055
1058,DB00472,D016171
1059,DB00472,D016403
1060,DB00472,D016491
1061,DB00472,D016889
1062,DB00472,D017114
1063,DB00472,D017116
1064,DB00472,D017119
1065,DB00472,D017180
1066,DB00472,D017285
1067,DB00472,D017379
1068,DB00472,D017563
1069,DB00472,D017880
1070,DB00472,D018366
1071,DB00472,D018476
1072,DB00472,D018487
1073,DB00472,D018500
1074,DB00472,D018754
1075,DB00472,D018771
1076,DB00472,D018879
1077,DB00472,D018908
1078,DB00472,D019226
1079,DB00472,D019465
1080,DB00472,D019584
1081,DB00472,D019586
1082,DB00472,D019636
1083,DB00472,D019955
1084,DB00472,D019956
1085,DB00472,D019957
1086,DB00472,D019964
1087,DB00472,D019966
1088,DB00472,D019969
1089,DB00472,D019970
1090,DB00472,D020018
1091,DB00472,D020138
1092,DB00472,D020230
1093,DB00472,D020233
1094,DB00472,D020234
1095,DB00472,D020244
1096,DB00472,D020250
1097,DB00472,D020257
1098,DB00472,D020300
1099,DB00472,D020422
1100,DB00472,D020520
1101,DB00472,D020734
1102,DB00472,D020795
1103,DB00472,D020820
1104,DB00472,D020821
1105,DB00472,D020964
1106,DB00472,D023341
1107,DB00472,D023921
1108,DB00472,D024821
1109,DB00472,D028361
1110,DB00472,D029424
1111,DB00472,D034381
1112,DB00472,D041781
1113,DB00472,D047508
1114,DB00472,D047928
1115,DB00472,D048629
1116,DB00472,D049188
1117,DB00472,D050171
1118,DB00472,D050197
1119,DB00472,D051437
1120,DB00472,D053099
1121,DB00472,D053206
1122,DB00472,D053608
1123,DB00472,D053609
1124,DB00472,D054058
1125,DB00472,D054138
1126,DB00472,D054198
1127,DB00472,D054218
1128,DB00472,D054537
1129,DB00472,D054556
1130,DB00472,D055154
1131,DB00472,D055370
1132,DB00472,D056486
1133,DB00472,D056784
1134,DB00472,D058186
1135,DB00472,D062787
1136,DB00472,D064420
1137,DB00472,D065626
1138,DB00472,D066126
1139,DB00655,D001008
1140,DB00655,D001259
1141,DB00655,D003251
1142,DB00655,D004830
1143,DB00655,D006029
1144,DB00655,D006970
1145,DB00655,D007037
1146,DB00655,D009207
1147,DB00655,D010291
1148,DB00655,D011507
1149,DB00655,D012640
1150,DB00655,D013262
1151,DB00655,D013375
1152,DB00655,D017674
1153,DB00655,D019954
1154,DB00655,D020301
1155,DB00997,D001008
1156,DB00997,D004830
1157,DB00997,D007022
1158,DB00997,D007249
1159,DB00997,D007319
1160,DB00997,D009369
1161,DB00997,D009503
1162,DB00997,D010292
1163,DB00997,D011537
1164,DB00281,D009369
1165,DB00281,D009422
1166,DB00281,D009503
1167,DB00281,D009369
1168,DB00281,D009422
1169,DB00281,D009503
1170,DB00810,D006973
1171,DB00810,D007249
1172,DB00810,D009135
1173,DB00810,D010198
1174,DB00810,D014839
1175,DB00688,D006333
1176,DB00688,D006973
1177,DB00688,D007022
1178,DB00688,D007249
1179,DB00688,D007410
1180,DB00688,D009503
1181,DB00688,D010292
1182,DB00688,D014839
1183,DB00811,D001249
1184,DB00811,D006973
1185,DB00811,D007022
1186,DB00811,D007249
1187,DB00811,D009202
1188,DB00811,D009369
1189,DB00811,D010190
1190,DB00811,D014652
1191,DB01098,D006311
1192,DB01037,D004831
1193,DB01037,D006973
1194,DB01037,D007022
1195,DB01037,D007174
1196,DB01037,D007235
1197,DB01037,D007249
1198,DB01037,D007752
1199,DB01037,D007859
1200,DB01037,D007964
1201,DB01037,D008569
1202,DB01037,D009069
1203,DB01037,D009140
1204,DB01037,D009202
1205,DB01037,D009205
1206,DB01037,D009336
1207,DB01037,D009357
1208,DB01037,D009369
1209,DB01037,D009389
1210,DB01037,D009393
1211,DB01037,D009410
1212,DB01037,D009421
1213,DB01037,D009503
1214,DB01037,D010019
1215,DB01037,D010051
1216,DB01037,D010146
1217,DB01037,D010195
1218,DB01037,D010211
1219,DB01037,D010243
1220,DB01037,D010264
1221,DB01037,D010292
1222,DB01037,D010302
1223,DB01037,D010437
1224,DB01037,D010488
1225,DB01037,D010493
1226,DB01037,D010554
1227,DB01037,D010612
1228,DB01037,D010673
1229,DB01037,D010787
1230,DB01037,D010911
1231,DB01037,D011014
1232,DB01037,D011115
1233,DB01037,D011141
1234,DB01037,D011183
1235,DB01037,D011537
1236,DB01037,D011595
1237,DB01037,D011596
1238,DB01037,D011605
1239,DB01037,D011693
1240,DB01037,D011704
1241,DB01037,D011928
1242,DB01037,D012019
1243,DB01037,D012141
1244,DB01037,D012164
1245,DB01037,D012208
1246,DB01037,D012559
