Unnamed: 0,DrugBank ID,MeSH ID
385,DB00860,D015001
386,DB00860,D003551
387,DB00860,D020194
388,DB00860,D000196
389,DB00860,D018633
390,DB00860,D006953
391,DB00860,D018785
392,DB00860,D011778
393,DB00860,D015267
394,DB00860,D056725
395,DB00860,D007566
396,DB00860,D014648
397,DB00860,D009956
398,DB00860,D001321
399,DB00860,D011019
400,DB00860,D010237
401,DB00860,D016878
402,DB00860,D015499
403,DB00860,D014355
404,DB00860,D008581
405,DB00860,D004802
406,DB00860,D014141
407,DB00860,D000542
408,DB00860,D001254
409,DB00860,D001196
410,DB00860,D008175
411,DB00860,D052556
412,DB00860,D013742
413,DB00860,D007057
414,DB00860,D015175
415,DB00860,D006527
416,DB00860,D005878
417,DB00860,D007676
418,DB00860,D006946
419,DB00860,D005356
420,DB00860,D053579
421,DB00860,D003294
422,DB00860,D011546
423,DB00860,D014973
424,DB00860,D020246
425,DB00860,D005211
426,DB00860,D009617
427,DB00860,D002239
428,DB00860,D018856
429,DB00860,D006932
430,DB00860,D003457
431,DB00860,D005892
432,DB00860,D005776
433,DB00860,D020513
434,DB00860,D000749
435,DB00860,D005877
436,DB00860,D014846
437,DB00860,D003003
438,DB00860,D024741
439,DB00860,D010505
440,DB00860,D018879
441,DB00860,D003929
442,DB00860,D008947
443,DB00860,D063730
444,DB00860,D020165
445,DB00860,D008708
446,DB00860,D003930
447,DB00860,D000745
448,DB00860,D009135
449,DB00860,D019693
450,DB00860,D007888
451,DB00860,D012061
452,DB00860,D013344
453,DB00860,D002169
454,DB00860,D000015
455,DB00860,D013771
456,DB00860,D020159
457,DB00860,D014201
458,DB00860,D016403
459,DB00860,D001068
460,DB00860,D007876
461,DB00860,D007177
462,DB00860,D018207
463,DB00860,D020915
464,DB00860,D006712
465,DB00860,D006725
466,DB00860,D004443
467,DB00860,D000326
468,DB00860,D003554
469,DB00860,D014257
470,DB00860,D006100
471,DB00860,D011081
472,DB00860,D012373
473,DB00860,D020163
474,DB00860,D007946
475,DB01234,D006973
476,DB01234,D001249
477,DB01234,D003876
478,DB01234,D001943
479,DB01234,D001932
480,DB01234,D009298
481,DB01234,D012559
482,DB01234,D010003
483,DB01234,D065631
484,DB01234,D011565
485,DB01234,D001172
486,DB01234,D006689
487,DB01234,D003924
488,DB01234,D054198
489,DB01234,D015470
490,DB01234,D006319
491,DB01234,D015464
492,DB01234,D007592
493,DB01234,D010300
494,DB01234,D004401
495,DB01234,D009182
496,DB01234,D003093
497,DB01234,D009103
498,DB01234,D005764
499,DB01234,D009101
500,DB01234,D001764
501,DB01234,D020734
502,DB01234,D010437
503,DB01234,D005902
504,DB01234,D001171
505,DB01234,D014376
506,DB01234,D010024
507,DB01234,D003863
508,DB01234,D001281
509,DB01234,D016584
510,DB01234,D000787
511,DB01234,D008224
512,DB01234,D002177
513,DB01234,D001289
514,DB01234,D006073
515,DB01234,D012628
516,DB01234,D003371
517,DB01234,D012148
518,DB01234,D008178
519,DB01234,D007319
520,DB01234,D009404
521,DB01234,D013274
522,DB01234,D003922
523,DB01234,D008180
524,DB01234,D009771
525,DB01234,D020522
526,DB01234,D006949
527,DB01234,D001145
528,DB01234,D002644
529,DB01234,D031845
530,DB01234,D015179
531,DB01234,D013167
532,DB01234,D014005
533,DB01234,D017449
534,DB01234,D002292
535,DB01234,D001762
536,DB01234,D010392
537,DB01234,D016481
538,DB01234,D015212
539,DB01234,D004715
540,DB01234,D054218
541,DB01234,D008575
542,DB01234,D010391
543,DB01234,D009203
544,DB01234,D002289
545,DB01234,D001714
546,DB01234,D015658
547,DB01234,D017285
548,DB01234,D006980
549,DB01234,D001528
550,DB01234,D029424
551,DB01234,D006938
552,DB01234,D046589
553,DB01234,D001749
554,DB01234,D001008
555,DB01234,D016411
556,DB01234,D011471
557,DB01234,D007006
558,DB01234,D003324
559,DB01234,D013262
560,DB01234,D018232
561,DB01234,D012595
562,DB01234,D006526
563,DB01234,D000224
564,DB01234,D010190
565,DB01234,D065627
566,DB01234,D013203
567,DB01234,D010051
568,DB01234,D000744
569,DB01234,D005705
570,DB01234,D000083242
571,DB01234,D001228
572,DB01234,D000544
573,DB01234,D010033
574,DB01234,D000437
575,DB01234,D009765
576,DB01234,D006976
577,DB01234,D006030
578,DB01234,D006561
579,DB01234,D013036
580,DB01234,D002583
581,DB01234,D016553
582,DB01234,D008010
583,DB01234,D002819
584,DB01234,D014890
585,DB01234,D011928
586,DB01234,D013968
587,DB01234,D009447
588,DB01234,D009128
589,DB01234,D001327
590,DB01234,D011085
591,DB01234,D013700
592,DB01234,D002051
593,DB01234,D020329
594,DB01234,D014010
595,DB01234,D012868
596,DB01234,D003234
597,DB01234,D025241
598,DB01234,D002178
599,DB01234,D004938
600,DB01234,D016889
601,DB01234,D000077195
602,DB01234,D005879
603,DB01234,D010673
604,DB01234,D020190
605,DB01234,D009902
606,DB01234,D009157
607,DB01234,D010001
608,DB01234,D010510
609,DB01234,D000075222
610,DB01234,D014917
611,DB01234,D055752
612,DB01234,D009290
613,DB01234,D065768
614,DB01234,D020275
615,DB01234,D012541
616,DB01234,D011111
617,DB01234,D009396
618,DB01234,D020326
619,DB01234,D007011
620,DB01234,D006937
621,DB01234,D012512
622,DB01234,D053098
623,DB01234,D054179
624,DB01234,D052018
625,DB01234,D007873
626,DB01234,D004892
627,DB01234,D010373
628,DB01234,D011695
629,DB01234,D004832
630,DB01234,D009373
631,DB01234,D010916
632,DB01234,D012507
633,DB01234,D017241
634,DB01234,D004421
635,DB01234,D001523
636,DB01234,D016112
637,DB01234,D007918
638,DB01234,D006333
639,DB01234,D004829
640,DB01234,D012516
641,DB01234,D003966
642,DB01234,D000312
643,DB01234,D000690
644,DB01234,D013736
645,DB01234,D012514
646,DB01234,D019851
647,DB01234,D006528
648,DB01234,D004820
649,DB01234,D006509
650,DB01234,D010911
651,DB01234,D018273
652,DB01234,D011087
653,DB01234,D040181
654,DB01234,D006934
655,DB01234,D003550
656,DB01234,D003453
657,DB01234,D010488
658,DB01234,D018288
659,DB01234,D019578
660,DB01234,D002602
661,DB01234,D055953
662,DB01234,D022124
663,DB01234,D000848
664,DB01234,D002386
665,DB01234,D002647
666,DB01234,D006069
667,DB01234,D006954
668,DB01234,D015043
669,DB01234,D017114
670,DB01234,D003424
671,DB01234,D006111
672,DB01234,D009165
673,DB01234,D003480
674,DB01234,D012010
675,DB01234,D000505
676,DB01234,D014820
677,DB01234,D002862
678,DB01234,D001072
679,DB01234,D001606
680,DB01234,D014435
681,DB01234,D000881
682,DB01234,D006086
683,DB01234,D008228
684,DB01234,D016649
685,DB01234,D006828
686,DB01234,D013587
687,DB01234,D013915
688,DB01234,D005738
689,DB01234,D015228
690,DB01234,D001759
691,DB01234,D012509
692,DB01234,D002822
693,DB01234,D014406
694,DB01234,D001157
695,DB01234,D051474
696,DB01234,D014402
697,DB01234,D000562
698,DB01234,D003047
699,DB01234,D020790
700,DB01234,D008219
701,DB01234,D010284
702,DB01234,D053206
703,DB01234,D009190
704,DB01234,D007251
705,DB01234,D008288
706,DB01234,D006660
707,DB01234,D020961
708,DB01234,D007644
709,DB01234,D012532
710,DB01234,D009091
711,DB01234,D009080
712,DB01234,D043183
713,DB01234,D017515
714,DB01234,D005873
715,DB01234,D016585
716,DB01234,D046152
717,DB01234,D005910
718,DB01234,D008269
719,DB01234,D004374
720,DB01234,D011020
721,DB01234,D016736
722,DB01234,D012859
723,DB01234,D015352
724,DB01234,D008268
725,DB01234,D007645
726,DB01234,D014802
727,DB01234,D010930
728,DB01234,D007943
729,DB01234,D050031
730,DB01234,D055728
731,DB01234,D002280
732,DB01234,D020385
733,DB01234,D001259
734,DB01234,D028226
735,DB01234,D006962
736,DB01234,D013132
737,DB01234,D004422
738,DB01234,D006816
739,DB01234,D001477
740,DB01234,D000707
741,DB01234,D014437
742,DB01234,D020388
743,DB01234,D018263
744,DB01234,D003928
745,DB01234,D013174
746,DB01234,D005198
747,DB01234,D000347
748,DB01234,D018197
749,DB01234,D011225
750,DB01234,D018798
751,DB01234,D017488
752,DB01234,D001987
753,DB01234,D003555
754,DB01234,D003586
755,DB01234,D004893
756,DB01234,D005687
757,DB01234,D029503
758,DB01234,D008181
759,DB01234,D000141
760,DB01234,D007896
761,DB01234,D009855
762,DB01234,D020514
763,DB01234,D014123
764,DB01234,D011115
765,DB01234,D004169
766,DB01234,D002446
767,DB01234,D008545
768,DB01234,D006966
769,DB01234,D056693
770,DB01234,D014927
771,DB01234,D010383
772,DB01234,D055623
773,DB01234,D002771
774,DB01234,D012612
775,DB01234,D054221
776,DB01234,D004697
777,DB01234,D014245
778,DB01234,D008105
779,DB01234,D009437
780,DB01234,D017490
781,DB01234,D005359
782,DB01234,D011125
783,DB01234,D012555
784,DB01234,D006929
785,DB01234,D004761
786,DB01234,D012175
787,DB01234,D001162
788,DB01234,D008088
789,DB01234,D015419
790,DB01234,D010229
791,DB01234,D017229
792,DB01234,D002780
793,DB01234,D000172
794,DB01234,D002294
795,DB01234,D018901
796,DB01234,D002006
797,DB01234,D013919
798,DB01234,D054437
799,DB01234,D003731
800,DB01234,D031249
801,DB01234,D003414
802,DB01234,D006950
803,DB01234,D056729
804,DB01234,D013322
805,DB01234,D008589
806,DB01234,D052537
807,DB01234,D008527
808,DB01234,D013964
809,DB01234,D002971
810,DB01234,D017492
811,DB01234,D013920
812,DB01234,D000306
813,DB01234,D010282
814,DB01234,D013922
815,DB01234,D001474
816,DB01234,D020096
817,DB01234,D007922
818,DB01234,D004165
819,DB01234,D005271
820,DB01234,D052536
821,DB01234,D001176
822,DB01234,D015211
823,DB01234,D018357
824,DB01234,D008305
825,DB01234,D006394
826,DB01234,D015459
827,DB01234,D006501
828,DB01234,D012552
829,DB01234,D017887
830,DB01234,D017681
831,DB01234,D009889
832,DB01234,D014202
833,DB01234,D000743
834,DB01234,D012614
835,DB01234,D003218
836,DB01234,D015001
837,DB01234,D003551
838,DB01234,D020194
839,DB01234,D000196
840,DB01234,D018633
841,DB01234,D006953
842,DB01234,D018785
843,DB01234,D011778
844,DB01234,D015267
845,DB01234,D056725
846,DB01234,D007566
847,DB01234,D014648
848,DB01234,D009956
849,DB01234,D001321
850,DB01234,D011019
851,DB01234,D010237
852,DB01234,D016878
853,DB01234,D015499
854,DB01234,D014355
855,DB01234,D008581
856,DB01234,D004802
857,DB01234,D014141
858,DB01234,D000542
859,DB01234,D001254
860,DB01234,D001196
861,DB01234,D008175
862,DB01234,D052556
863,DB01234,D013742
864,DB01234,D007057
865,DB01234,D015175
866,DB01234,D006527
867,DB01234,D005878
868,DB01234,D007676
869,DB01234,D006946
870,DB01234,D005356
871,DB01234,D053579
872,DB01234,D003294
873,DB01234,D011546
874,DB01234,D014973
875,DB01234,D020246
876,DB01234,D005211
877,DB01234,D009617
878,DB01234,D002239
879,DB01234,D018856
880,DB01234,D006932
881,DB01234,D003457
882,DB01234,D005892
883,DB01234,D005776
884,DB01234,D020513
885,DB01234,D000749
886,DB01234,D005877
887,DB01234,D014846
888,DB01234,D003003
889,DB01234,D024741
890,DB01234,D010505
891,DB01234,D018879
892,DB01234,D003929
893,DB01234,D008947
894,DB01234,D063730
895,DB01234,D020165
896,DB01234,D008708
897,DB01234,D003930
898,DB01234,D000745
899,DB01234,D009135
900,DB01234,D019693
901,DB01234,D007888
902,DB01234,D012061
903,DB01234,D013344
904,DB01234,D002169
905,DB01234,D000015
906,DB01234,D013771
907,DB01234,D020159
908,DB01234,D014201
909,DB01234,D016403
910,DB01234,D001068
911,DB01234,D007876
912,DB01234,D007177
913,DB01234,D018207
914,DB01234,D020915
915,DB01234,D006712
916,DB01234,D006725
917,DB01234,D004443
918,DB01234,D000326
919,DB01234,D003554
920,DB01234,D014257
921,DB01234,D006100
922,DB01234,D011081
923,DB01234,D012373
924,DB01234,D020163
925,DB01234,D007946
926,DB00959,D006973
927,DB00959,D001249
928,DB00959,D003876
929,DB00959,D001943
930,DB00959,D001932
931,DB00959,D009298
932,DB00959,D012559
933,DB00959,D010003
934,DB00959,D065631
935,DB00959,D011565
936,DB00959,D001172
937,DB00959,D006689
938,DB00959,D003924
939,DB00959,D000152
940,DB00959,D054198
941,DB00959,D015470
942,DB00959,D006319
943,DB00959,D015464
944,DB00959,D007592
945,DB00959,D010300
946,DB00959,D004401
947,DB00959,D009182
948,DB00959,D003093
949,DB00959,D009103
950,DB00959,D005764
951,DB00959,D009101
952,DB00959,D001764
953,DB00959,D020734
954,DB00959,D010437
955,DB00959,D005902
956,DB00959,D001171
957,DB00959,D014376
958,DB00959,D010024
959,DB00959,D003863
960,DB00959,D001281
961,DB00959,D016584
962,DB00959,D000787
963,DB00959,D008224
964,DB00959,D002177
965,DB00959,D001289
966,DB00959,D006073
967,DB00959,D012628
968,DB00959,D003371
969,DB00959,D012148
970,DB00959,D008178
971,DB00959,D007319
972,DB00959,D009404
973,DB00959,D013274
974,DB00959,D003922
975,DB00959,D008180
976,DB00959,D009771
977,DB00959,D020522
978,DB00959,D006949
979,DB00959,D001145
980,DB00959,D002644
981,DB00959,D031845
982,DB00959,D015179
983,DB00959,D013167
984,DB00959,D014005
985,DB00959,D017449
986,DB00959,D002292
987,DB00959,D001762
988,DB00959,D010392
989,DB00959,D016481
990,DB00959,D015212
991,DB00959,D004715
992,DB00959,D054218
993,DB00959,D008575
994,DB00959,D010391
995,DB00959,D009203
996,DB00959,D002289
997,DB00959,D001714
998,DB00959,D015658
999,DB00959,D017285
1000,DB00959,D006980
1001,DB00959,D001528
1002,DB00959,D029424
1003,DB00959,D006938
1004,DB00959,D046589
1005,DB00959,D001749
1006,DB00959,D001008
1007,DB00959,D016411
1008,DB00959,D011471
1009,DB00959,D007006
1010,DB00959,D003324
1011,DB00959,D013262
1012,DB00959,D018232
1013,DB00959,D012595
1014,DB00959,D006526
1015,DB00959,D000224
1016,DB00959,D010190
1017,DB00959,D065627
1018,DB00959,D013203
1019,DB00959,D010051
1020,DB00959,D000744
1021,DB00959,D005705
1022,DB00959,D000083242
1023,DB00959,D001228
1024,DB00959,D000544
1025,DB00959,D010033
1026,DB00959,D000437
1027,DB00959,D009765
1028,DB00959,D006976
1029,DB00959,D006030
1030,DB00959,D006561
1031,DB00959,D013036
1032,DB00959,D002583
1033,DB00959,D016553
1034,DB00959,D008010
1035,DB00959,D002819
1036,DB00959,D014890
1037,DB00959,D011928
1038,DB00959,D013968
1039,DB00959,D009447
1040,DB00959,D009128
1041,DB00959,D001327
1042,DB00959,D011085
1043,DB00959,D013700
1044,DB00959,D002051
1045,DB00959,D020329
1046,DB00959,D014010
1047,DB00959,D012868
1048,DB00959,D003234
1049,DB00959,D025241
1050,DB00959,D002178
1051,DB00959,D004938
1052,DB00959,D016889
1053,DB00959,D000077195
1054,DB00959,D005879
1055,DB00959,D010673
1056,DB00959,D020190
1057,DB00959,D009902
1058,DB00959,D009157
1059,DB00959,D010001
1060,DB00959,D010510
1061,DB00959,D000075222
1062,DB00959,D014917
1063,DB00959,D055752
1064,DB00959,D009290
1065,DB00959,D065768
1066,DB00959,D020275
1067,DB00959,D012541
1068,DB00959,D011111
1069,DB00959,D009396
1070,DB00959,D020326
1071,DB00959,D007011
1072,DB00959,D006937
1073,DB00959,D012512
1074,DB00959,D053098
1075,DB00959,D054179
1076,DB00959,D052018
1077,DB00959,D007873
1078,DB00959,D004892
1079,DB00959,D010373
1080,DB00959,D011695
1081,DB00959,D004832
1082,DB00959,D009373
1083,DB00959,D010916
1084,DB00959,D012507
1085,DB00959,D017241
1086,DB00959,D004421
1087,DB00959,D001523
1088,DB00959,D016112
1089,DB00959,D007918
1090,DB00959,D006333
1091,DB00959,D004829
1092,DB00959,D012516
1093,DB00959,D003966
1094,DB00959,D000312
1095,DB00959,D000690
1096,DB00959,D013736
1097,DB00959,D012514
1098,DB00959,D019851
1099,DB00959,D006528
1100,DB00959,D004820
1101,DB00959,D006509
1102,DB00959,D010911
1103,DB00959,D018273
1104,DB00959,D011087
1105,DB00959,D040181
1106,DB00959,D006934
1107,DB00959,D003550
1108,DB00959,D003453
1109,DB00959,D010488
1110,DB00959,D018288
1111,DB00959,D019578
1112,DB00959,D002602
1113,DB00959,D055953
1114,DB00959,D022124
1115,DB00959,D000848
1116,DB00959,D002386
1117,DB00959,D002647
1118,DB00959,D006069
1119,DB00959,D006954
1120,DB00959,D015043
1121,DB00959,D017114
1122,DB00959,D003424
1123,DB00959,D006111
1124,DB00959,D009165
1125,DB00959,D003480
1126,DB00959,D012010
1127,DB00959,D000505
1128,DB00959,D014820
1129,DB00959,D002862
1130,DB00959,D001072
1131,DB00959,D001606
1132,DB00959,D014435
1133,DB00959,D000881
1134,DB00959,D006086
1135,DB00959,D008228
1136,DB00959,D016649
1137,DB00959,D006828
1138,DB00959,D013587
1139,DB00959,D013915
1140,DB00959,D005738
1141,DB00959,D015228
1142,DB00959,D001759
1143,DB00959,D012509
1144,DB00959,D002822
1145,DB00959,D014406
1146,DB00959,D001157
1147,DB00959,D051474
1148,DB00959,D014402
1149,DB00959,D000562
1150,DB00959,D003047
1151,DB00959,D020790
1152,DB00959,D008219
1153,DB00959,D010284
1154,DB00959,D053206
1155,DB00959,D009190
1156,DB00959,D007251
1157,DB00959,D008288
1158,DB00959,D006660
1159,DB00959,D020961
1160,DB00959,D007644
1161,DB00959,D012532
1162,DB00959,D009091
1163,DB00959,D009080
1164,DB00959,D043183
1165,DB00959,D017515
1166,DB00959,D005873
1167,DB00959,D016585
1168,DB00959,D046152
1169,DB00959,D005910
1170,DB00959,D008269
1171,DB00959,D004374
1172,DB00959,D011020
1173,DB00959,D016736
1174,DB00959,D012859
1175,DB00959,D015352
1176,DB00959,D008268
1177,DB00959,D007645
1178,DB00959,D014802
1179,DB00959,D010930
1180,DB00959,D007943
1181,DB00959,D050031
1182,DB00959,D055728
1183,DB00959,D002280
1184,DB00959,D020385
1185,DB00959,D001259
1186,DB00959,D028226
1187,DB00959,D006962
1188,DB00959,D013132
1189,DB00959,D004422
1190,DB00959,D006816
1191,DB00959,D001477
1192,DB00959,D000707
1193,DB00959,D014437
1194,DB00959,D020388
1195,DB00959,D018263
1196,DB00959,D003928
1197,DB00959,D013174
1198,DB00959,D005198
1199,DB00959,D000347
1200,DB00959,D018197
1201,DB00959,D011225
1202,DB00959,D018798
1203,DB00959,D017488
1204,DB00959,D001987
1205,DB00959,D003555
1206,DB00959,D003586
1207,DB00959,D004893
1208,DB00959,D005687
1209,DB00959,D029503
1210,DB00959,D008181
1211,DB00959,D000141
1212,DB00959,D007896
1213,DB00959,D009855
1214,DB00959,D020514
1215,DB00959,D014123
1216,DB00959,D011115
1217,DB00959,D004169
1218,DB00959,D002446
1219,DB00959,D008545
1220,DB00959,D006966
1221,DB00959,D056693
1222,DB00959,D014927
1223,DB00959,D010383
1224,DB00959,D055623
1225,DB00959,D002771
1226,DB00959,D012612
1227,DB00959,D054221
1228,DB00959,D004697
1229,DB00959,D014245
1230,DB00959,D008105
1231,DB00959,D009437
1232,DB00959,D017490
1233,DB00959,D005359
1234,DB00959,D011125
1235,DB00959,D012555
1236,DB00959,D006929
1237,DB00959,D004761
1238,DB00959,D012175
1239,DB00959,D001162
1240,DB00959,D008088
1241,DB00959,D015419
1242,DB00959,D010229
1243,DB00959,D017229
1244,DB00959,D002780
